ONTOLOGY,ID,Description,pvalue_ASG_liver_AF,pvalue_ASG_liver_AR,pvalue_ASG_liver_FR,pvalue_DEG_liver_AF,pvalue_DEG_liver_AR,pvalue_DEG_liver_FR
MF,GO:0019787,ubiquitin-like protein transferase activity,0.022259932,NA,NA,NA,NA,NA
MF,GO:0033764,steroid dehydrogenase activity acting on the CH-OH group of donors NAD or NADP as acceptor,0.022706061,NA,NA,NA,NA,NA
MF,GO:0005543,phospholipid binding,0.025635686,0.01332186,NA,0.022655286,NA,NA
MF,GO:0070063,RNA polymerase binding,0.028358559,NA,NA,NA,NA,NA
MF,GO:0016705,oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen,0.029125058,NA,NA,NA,NA,NA
MF,GO:0004843,cysteine-type deubiquitinase activity,0.030518329,2.22971e-4,NA,NA,NA,NA
MF,GO:0008135,translation factor activity RNA binding,0.03357426,NA,NA,NA,NA,NA
MF,GO:0005096,GTPase activator activity,0.035597284,NA,NA,NA,0.040533915,NA
MF,GO:0003712,transcription coregulator activity,0.037406259,0.005917275,NA,0.008131063,0.01505235,NA
MF,GO:0061659,ubiquitin-like protein ligase activity,0.039815852,NA,NA,NA,NA,NA
MF,GO:0101005,deubiquitinase activity,0.041387221,3.7777e-4,NA,NA,NA,NA
MF,GO:0016229,steroid dehydrogenase activity,0.04196535,NA,NA,NA,NA,0.01157763
MF,GO:0031491,nucleosome binding,0.042841595,NA,NA,NA,NA,NA
MF,GO:0061630,ubiquitin protein ligase activity,0.043466389,NA,NA,NA,NA,NA
